cluster_id,size,percentage,avg_sentiment,top_words,example_1,example_2,example_3
0,24,0.266755585195065,4.916666666666667,"mantap, pokoknya, sip, keren, lah",keren dan mantap...,Mantap dan keren!!!...,Mantap lah pokoknya...
1,5860,65.13282205179505,3.3414675767918087,"aplikasi, nya, stockbit, saham, sangat","hey admin, ku harap update berikutnya aplikasi ini bisa menjadi mode landscape, bukan hanya potret s...","Gak ada lawan. Pengalaman interface yang luar biasa, fitur yang sangat komplit, ruang diskusi yang l...",Kelebihan : Chat Support cepat dijawab dan dilayani (bahkan pertanyaan receh sekalipun). Kekurangan ...
2,21,0.23341113704568192,4.857142857142857,"bagus, fitur, sangat, god, lengkap","Bagus, fitur lengkap...",Bagus.. Fitur cukup bagus...,fitur cukup lengkap...
